#Risvollan, 123.38.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2019-07-14 11:00:00Z;0,0004638417;0;2
2019-07-15 11:00:00Z;0,003709682;0;2
2019-07-16 11:00:00Z;0,0005957414;0;2
2019-07-17 11:00:00Z;0,0004993739;0;2
2019-07-18 11:00:00Z;0,0004772679;0;2
2019-07-19 11:00:00Z;0,0004111305;0;2
2019-07-20 11:00:00Z;0,0003639982;0;2
2019-07-21 11:00:00Z;0,002109686;0;2
2019-07-22 11:00:00Z;0,0006210849;0;2
2019-07-23 11:00:00Z;0,0003410899;0;2
2019-07-24 11:00:00Z;0,0003024962;0;2
2019-07-25 11:00:00Z;0,0002739443;0;2
2019-07-26 11:00:00Z;0,0002703062;0;2
2019-07-27 11:00:00Z;0,0002551093;0;2
2019-07-28 11:00:00Z;0,000241097;0;2
2019-07-29 11:00:00Z;0,0002384503;0;2
2019-07-30 11:00:00Z;0,0002489158;0;2
2019-07-31 11:00:00Z;0,000226169;0;2
2019-08-01 11:00:00Z;0,0001968221;0;2
2019-08-02 11:00:00Z;0,0002245884;0;2
2019-08-03 11:00:00Z;0,0002061264;0;2
2019-08-04 11:00:00Z;0,0002045522;0;2
2019-08-05 11:00:00Z;0,0001844564;0;2
2019-08-06 11:00:00Z;0,0001808758;0;2
2019-08-07 11:00:00Z;0,0001705248;0;2
2019-08-08 11:00:00Z;0,0001357828;0;2
2019-08-09 11:00:00Z;0,00012282;0;2
2019-08-10 11:00:00Z;0,0001255643;0;2
2019-08-11 11:00:00Z;0,0001284919;0;2
2019-08-12 11:00:00Z;0,0156652;0;2
2019-08-13 11:00:00Z;0,01071861;0;2
2019-08-14 11:00:00Z;0,001197494;0;2
2019-08-15 11:00:00Z;0,0006686305;0;2
2019-08-16 11:00:00Z;0,0005833278;0;2
2019-08-17 11:00:00Z;0,0005978339;0;2
2019-08-18 11:00:00Z;0,0006390416;0;2
2019-08-19 11:00:00Z;0,001271282;0;2
2019-08-20 11:00:00Z;0,002098608;0;2
2019-08-21 11:00:00Z;0,0003832759;0;2
2019-08-22 11:00:00Z;0,0002997092;0;2
2019-08-23 11:00:00Z;0,0020295;0;2
2019-08-24 11:00:00Z;0,0002861418;0;2
2019-08-25 11:00:00Z;0,0002925995;0;2
2019-08-26 11:00:00Z;0,000251982;0;2
